soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
土壤-5398,0.6988525,0.6997681,-1,0,0.6994629,0.6988525,-1,0,0.9990916,0,0,0,0,0,0,0,0,0.6051893,0.7358794,0.6960363,0.6725821,0.6935193,0.6970162,0.6894455,0.7079307,0.7254897,14.3,5.04,1.2195666,89.3172,87.9,87.5,5
土壤-5401,0.7000732,0.7055664,-1,0,0.6985474,0.6982422,-1,0,0.9991313,0,0,0,0,0,0,0,0,0.515766,0.6153699,0.5874496,0.5734316,0.6196949,0.6175827,0.6112371,0.6289595,0.6455405,13.5,5.02,1.0149594,109.4856,67.6,40.5,5
土壤-5402,0.7082112,0.700887,-1,0,0.6998698,0.6959025,-1,0,0.9990711,0,0,0,0,0,0,0,0,0.604302,0.6871176,0.6607337,0.648432,0.6888335,0.6916047,0.6906397,0.7035058,0.7174819,20.7,6.26,1.4887866,239.8599,165.4,124.5,5
土壤-5404,0.7063802,0.7059733,-1,0,0.7014974,0.68868,-1,0,0.9991482,0,0,0,0,0,0,0,0,0.5662841,0.6698138,0.6401418,0.6262102,0.6675165,0.6688707,0.6630696,0.6812335,0.6986245,41.4,5.63,2.167221,121.7307,87,70.5,5
土壤-5405,0.7009888,0.6972249,-1,0,0.7015991,0.7030233,-1,0,0.9991521,0,0,0,0,0,0,0,0,0.5402504,0.6589885,0.6240878,0.6034076,0.6315014,0.6328231,0.6254575,0.6429162,0.6596514,13.1,5.06,0.9180402,128.2134,182.4,140.5,5
土壤-5406,0.6995646,0.6951904,-1,0,0.7025146,0.6989543,-1,0,0.9990312,0,0,0,0,0,0,0,0,0.558596,0.6562617,0.6297421,0.6171455,0.6553324,0.658718,0.6496688,0.6673422,0.6843246,13.7,5.54,0.982653,98.6811,92.5,88,5
土壤-3091,0.7096354,0.7139079,-1,0,0.6858317,0.6856282,-1,0,0.9990616,0,0,0,0,0,0,0,0,0.5675025,0.616706,0.6063921,0.6044548,0.6483905,0.6533517,0.6427584,0.657268,0.6716632,23.9,5.38,1.3461,164.2284,161.4,314.5,2.959225749
土壤-3092,0.6972249,0.6972249,-1,0,0.6966146,0.6982422,-1,0,0.9991072,0,0,0,0,0,0,0,0,0.5619208,0.610347,0.6003075,0.5982834,0.6420421,0.6471636,0.6364407,0.6506093,0.665094,23.9,5.38,1.3461,164.2284,161.4,314.5,2.959225749
土壤-3093,0.6988525,0.7023112,-1,0,0.7023112,0.6970215,-1,0,0.9991401,0,0,0,0,0,0,0,0,0.5616725,0.6102926,0.5998493,0.5982094,0.6418985,0.6472366,0.6361209,0.6503448,0.664893,23.9,5.38,1.3461,164.2284,161.4,314.5,2.959225749
土壤-404,0.7035319,0.6931559,-1,0,0.6980388,0.7010905,-1,0,0.9990923,0,0,0,0,0,0,0,0,0.5510273,0.6126658,0.5975828,0.5944023,0.6474214,0.6482478,0.6412878,0.6576746,0.6731009,41.4,5.63,2.167221,121.7307,87,70.5,2.391875186
土壤-4041,0.6986491,0.6941732,-1,0,0.6988525,0.7029216,-1,0,0.9992427,0,0,0,0,0,0,0,0,0.5541496,0.6173111,0.6009263,0.5978944,0.6514184,0.6520137,0.6449358,0.6617509,0.6775205,41.4,5.63,2.167221,121.7307,87,70.5,2.391875186
土壤-4042,0.7000732,0.6968181,-1,0,0.6972249,0.6864421,-1,0,0.9991347,0,0,0,0,0,0,0,0,0.5633846,0.6270532,0.6112644,0.6074756,0.6615639,0.662899,0.6558475,0.672458,0.6883792,41.4,5.63,2.167221,121.7307,87,70.5,2.391875186
土壤-4043,0.7019043,0.7023112,-1,0,0.7061768,0.6958008,-1,0,0.9991482,0,0,0,0,0,0,0,0,0.5561576,0.6177329,0.6021802,0.599202,0.6534635,0.6541157,0.6469894,0.6636509,0.6794051,41.4,5.63,2.167221,121.7307,87,70.5,2.391875186
土壤-358,0.6973267,0.6934611,-1,0,0.704244,0.7037354,-1,0,0.9991305,0,0,0,0,0,0,0,0,0.5098225,0.5675582,0.5517646,0.5468936,0.5982921,0.5971653,0.5916662,0.6048026,0.6178113,21.8,5.85,1.3932135,110.9262,179,84,2.007409067
